page,chapter_id,chapter_title_zh,chapter_title_en,title_zh,title_en,text_zh,text_en,image_path
1,1,第一幕,Act I,第1頁,Page 1,"場景：第1號邊界廢墟。天空常年被厚重的酸性灰霾籠罩，四周是生鏽的鋼鐵殘骸。
畫面：主角與老友 One 坐在一個用廢棄金屬拼湊的掩體下。One 是主角在這片廢土上唯一信任的戰友，他總是很安靜，此刻正低著頭，默默地修補著一件防護服。
突然，掩體外一台佈滿刮痕的公共全息收音機發出刺耳的電流聲。隨後，一陣極度輕柔、與周遭廢墟格格不入的甜美流行樂聲傳了出來。
全息收音機（陳老師的歌聲）：
「做甚麼都不被看好……」
「誰都可發光，只要找對地方……」
「讓我做我的主角……」
「成敗與否，看我是怎麼看……」
畫面：主角皺起眉頭，看著收音機投射出的陳老師虛擬影像。她穿著一襲純白色的長裙，在滿是輻射塵的投影中顯得聖潔無比。","Scene: Boundary Ruins No. 1. The sky is perpetually shrouded in thick acidic smog, surrounded by rusted steel wreckage.
Visual: The protagonist and their old friend One sit under a shelter pieced together from scrap metal. One is the only comrade the protagonist trusts in this wasteland; always quiet, currently bent over, silently repairing a protective suit.
Suddenly, a scratched public holographic radio outside the shelter emits a harsh electrical noise. Then, an extremely gentle, sweet pop melody, completely out of place among the ruins, begins to play.
Holographic Radio (Teacher Chan's voice singing):
""No matter what you do, no one believes in you...""
""Everyone can shine, as long as you find the right place...""
""Let me be my own protagonist...""
""Success or failure depends on how I see it...""
Visual: The protagonist frowns, watching the holographic image of Teacher Chan projected by the radio. She wears a pure white dress, appearing impossibly sacred amid the radiation-filled projection.",res://1.Codebase/src/assets/ui/intro/page_1_story_intro.png
2,1,第一幕,Act I,第2頁,Page 2,"全息收音機（陳老師的廣播獨白）：
「各位在廢墟中迷惘的靈魂，你們好。或許你們已經察覺，這個世界的資源正在枯竭，『虛無熵增』的終局正在逼近。是的，舊世界正在崩塌……但請不要恐懼！」
全息收音機（陳老師雙手合十，笑容溫暖）：
「只要我們將一切交託給『飛天意粉神 (FSM)』，奇蹟就會降臨。記住，宇宙的法則是『吸引力法則』！只要你保持絕對的正能量，拒絕所有的負面情緒，美好的事物就會被你吸引而來。不要活埋在世俗的眼光中，假使相信，就拼命去闖吧！」
主角（低聲自嘲）：「『成敗與否，看我是怎麼看』？難道我不承認肚子餓，胃就不會痛了嗎？真是一派胡言。我根本就不相信,而且這個世界是不是真的接近結局也不知道吧可能還有一千年一萬年之後才到達」
畫面：雖然嘴上這麼說，但連續幾個月的生存高壓與以及無助，讓主角的眼中閃過一絲微弱的疲憊。他轉頭看向 One，One 只是停下了手中的工作，勉強擠出一個溫和的、不置可否的微笑。","Holographic Radio (Teacher Chan's broadcast monologue):
""Dear lost souls wandering in the ruins, hello. Perhaps you've already noticed that the resources of this world are depleting, and the end of 'entropy towards nothingness' is approaching. Yes, the old world is collapsing... but do not fear!""
Holographic Radio (Teacher Chan clasps her hands together, smiling warmly):
""As long as we entrust everything to the 'Flying Spaghetti Monster (FSM)', miracles will come. Remember, the law of the universe is the 'Law of Attraction'! As long as you maintain absolute positive energy and reject all negative emotions, beautiful things will be drawn to you. Don't let yourself be buried by worldly judgments, if you believe, charge forward fearlessly!""
Protagonist (muttering sarcastically): ""'Success or failure depends on how I see it'? If I don't admit I'm hungry, will my stomach stop hurting? What nonsense. I don't believe it at all, and who knows if the world is really ending, maybe it'll be another thousand or ten thousand years.""
Visual: Despite the words, months of survival pressure and helplessness have left a trace of faint exhaustion in the protagonist's eyes. They turn to look at One, who simply stops working and forces a gentle, noncommittal smile.",res://1.Codebase/src/assets/ui/intro/page_2_story_doubt.png
3,1,第一幕,Act I,第3頁,Page 3,"場景：廢墟集散地    拾荒者營地。
畫面：廣播結束後，One 站起身，輕輕拍了拍主角的肩膀。他用手勢比劃著，指了指營地邊緣一個孤零零的身影。
主角（看懂了 One 的手勢，眉頭緊鎖）：「你想幫她？One，你總是這麼好心。但我們自己生存都很困難了。過去幾年，我被那些自私的外人出賣過太多次，只有你相信好，我根本信不過這裡的任何人。」
畫面：One 沒有說話，只是用懇求且真誠的眼神看著主角。One 知道那女孩剛流落到這片廢墟，人生路不熟，如果沒有人帶帶她，她根本活不下去。One 表達了想和她結伴同行的意願，並且希望主角也能一起加入，互相照應。
主角（嘆了一口氣，語氣軟了下來）：「既然是你開口……好吧。在這個見鬼的地方，我只信任你。既然你覺得她沒問題，那就一起走吧。」","Scene: Ruins Market, Scavenger Camp.
Visual: After the broadcast ends, One stands up and gently pats the protagonist's shoulder. He gestures, pointing toward a solitary figure at the edge of the camp.
Protagonist (understanding One's gesture, frowning): ""You want to help her? One, you're always so kind. But we're barely surviving ourselves. Over the past few years, I've been betrayed too many times by selfish outsiders. Only you I trust, I can't trust anyone else here.""
Visual: One doesn't speak, just looks at the protagonist with pleading, sincere eyes. One knows the girl has just drifted into this wasteland, unfamiliar with everything, without someone to guide her, she won't survive. One expresses his wish to travel with her and hopes the protagonist will join them, watching out for each other.
Protagonist (sighing, tone softening): ""Since it's you asking... fine. In this godforsaken place, I only trust you. If you think she's okay, then let's go together.""",res://1.Codebase/src/assets/ui/intro/page_3_story_camp.png
4,1,第一幕,Act I,第4頁,Page 4,"畫面：One 露出欣慰的笑容，轉身走向營地角落。不一會兒，他帶著一個穿著乾淨白色斗篷的女孩走了過來。在這片滿是污垢的廢土上，她乾淨得有些不真實。這就是 Gloria。
Gloria（走到兩人面前，沒有像其他拾荒者那樣滿臉戒備，反而帶著一種溫柔的微笑）：「你們好，謝謝你們願意帶著我。我才剛來到這裡，很多事情都不懂。」
畫面：主角轉過身去整理地上的裝備零件，刻意避開了她的目光，表現得極度冷淡與被動。
主角（頭也不抬，語氣生硬）：「謝他（指 One）就好，是他要幫你的。上了路就跟緊點，別惹麻煩。」
Gloria（笑容依舊，輕輕點頭）：「好的，希望能合作愉快。」
畫面：主角沒有再主動與她搭話，甚至連正眼都沒看她。主角的內心獨白浮現：【我只是看在 One 的份上才答應的。我絕對不會輕易對陌生人卸下心防。】","Visual: One smiles with relief and walks toward the corner of the camp. Soon, he returns with a girl wearing a clean white cloak. In this filthy wasteland, her cleanliness seems almost unreal. This is Gloria.
Gloria (approaching them, not showing the usual scavenger wariness but wearing a gentle smile): ""Hello, thank you for being willing to take me along. I just arrived here and don't understand much yet.""
Visual: The protagonist turns away to organize equipment parts on the ground, deliberately avoiding her gaze, appearing extremely cold and passive.
Protagonist (not looking up, tone curt): ""Thank him (pointing to One), not me. He's the one helping you. Stay close when we're on the road and don't cause trouble.""
Gloria (smile unchanged, nodding gently): ""Okay, I hope we can work well together.""
Visual: The protagonist doesn't initiate further conversation with her, doesn't even look at her properly. The protagonist's inner monologue emerges: [I'm only agreeing because of One. I absolutely won't let my guard down with strangers easily.]",res://1.Codebase/src/assets/ui/intro/page_4_story_gloria.png
5,1,第一幕,Act I,第5頁,Page 5,"場景：前往「史坦文國家公園」的荒土路上。
畫面：這不是什麼任務，純粹是因為營地裡太過壓抑，三人漫無目的地朝著據說曾有變異牛羊出現的廢棄公園走去，當作打發時間。One 默默地走在最前面探路，主角刻意落後了幾步，與那個穿白斗篷的女孩保持著安全距離。
突然，Gloria 放慢了腳步，退到了主角身旁。她轉過頭，毫無預警地直視著主角的眼睛，露出了一個極度燦爛的笑容。
Gloria（輕聲說道，語氣帶著一絲俏皮）：
「Btw，其實這幾天都未正式打過招呼[laugh]。我剛才留意到你外套上的舊區徽章……好巧，我發現我們都是來自『金融中心廢墟』的。而且，我看你一直默默觀察周遭的樣子……我也是 6767性格的人喔。」
畫面：主角猛地停下腳步，瞳孔微縮，彷彿被閃電擊中。
主角（內心劇烈震動）：【6767？這片廢土上最稀有、最容易內耗、也最渴望被理解的靈魂頻率？我曾在這片荒蕪中許願，希望能遇到一個懂我的人……她竟然跟我一樣？】","Scene: On the desolate road toward ""Stanfield National Park.""
Visual: This isn't a mission, just an escape from the oppressive camp. The three wander aimlessly toward an abandoned park where mutated cattle and sheep were reportedly seen, killing time. One silently walks ahead scouting, while the protagonist deliberately lags behind, maintaining a safe distance from the girl in the white cloak.
Suddenly, Gloria slows down and falls back beside the protagonist. She turns her head and, without warning, looks directly into the protagonist's eyes, breaking into a brilliant smile.
Gloria (speaking softly, with a hint of playfulness):
""Btw, we haven't actually introduced ourselves properly these past few days [laugh]. I just noticed the old district badge on your jacket... what a coincidence, I found out we're both from the 'Financial Center Ruins.' And also, I see you're always quietly observing your surroundings... I'm also a 6767 personality type.""
Visual: The protagonist abruptly stops, pupils contracting slightly, as if struck by lightning.
Protagonist (inner turmoil): [6767? The rarest soul frequency in this wasteland, prone to internal conflict and desperately craving understanding? I once wished in this barren place to meet someone who understood me... could she really be like me?]",res://1.Codebase/src/assets/ui/intro/page_5_story_walk.png
6,1,第一幕,Act I,第6頁,Page 6,"畫面：主角抬起頭，看著眼前這個笑容純粹的女孩。他原本冰冷防備的眼神，瞬間軟化了下來，甚至不自覺地戴上了一層名為「同類」的善意濾鏡。
主角（語氣變得有些侷促，帶著掩飾不住的驚訝）：「其實……你剛剛是不是一直走在我後面？抱歉，我之前對你那麼冷淡，我只是……對這裡的人沒什麼自信心。」
Gloria（輕輕搖頭，眼神清澈且充滿包容）：「沒關係的。我知道你只是在保護自己。我們 6767的人，總是能立刻察覺到周遭的惡意，所以才會豎起高牆，對吧？」
畫面：這句話精準地擊中了主角內心最柔軟的地方。長久以來的孤獨感彷彿找到了一個宣洩口。
走在前面的 One 聽到對話，也放慢了腳步，回頭給了主角一個鼓勵的微笑。三人來到了枯樹下，席地而坐。","Visual: The protagonist looks up at this girl with a pure smile. Their previously cold, defensive gaze instantly softens, unconsciously applying a benevolent filter labeled ""kindred spirit.""
Protagonist (tone becoming somewhat awkward, unable to hide surprise): ""Actually... were you walking behind me the whole time? Sorry I was so cold to you before. I just... don't have much confidence in people here.""
Gloria (shaking her head gently, eyes clear and full of understanding): ""It's okay. I know you're just protecting yourself. We 6767 types can always immediately sense the malice around us, so we build walls, right?""
Visual: This sentence precisely strikes the softest place in the protagonist's heart. The long-standing loneliness seems to have found an outlet.
One, walking ahead, hears the conversation and slows down, turning back to give the protagonist an encouraging smile. The three come to a dead tree and sit down on the ground.",res://1.Codebase/src/assets/ui/intro/page_6_story_soften.png
7,1,第一幕,Act I,第7頁,Page 7,"場景：史坦文國家公園的枯樹下。
畫面：沒有牛羊，只有滿地的荒蕪。但主角並不在意，他開始了一場被他視為「靈魂共鳴」的 Deep Talk。
主角（卸下所有防備，語氣低沉）：「你不知道我以前經歷過什麼。在原來的營地，我被最信任的同伴孤立、背叛。這世界上根本沒有絕對的好人，我只能靠冰冷的邏輯去防備所有人，否則就會死得很慘。」
Gloria（靜靜地聽著，眼神裡充滿了悲憫。她伸出手，輕輕拍了拍主角的手背）：
「你太辛苦了。你講多少，我就聽多少。但你知道嗎？你之所以這麼痛苦，是因為你還沒有聽懂陳老師廣播裡的真理。」
主角（眉頭微皺，理智稍微回歸）：「陳老師？那個叫大家放棄思考、去信什麼飛天意粉神 (FSM) 的邪教廣播？那都是騙人的廢話，我不信那些。」","Scene: Under a dead tree at Stanfield National Park.
Visual: No cattle or sheep, just desolation everywhere. But the protagonist doesn't care, they begin what they consider a ""soul resonance"" deep talk.
Protagonist (dropping all defenses, tone low): ""You don't know what I've been through. At my previous camp, I was isolated and betrayed by the comrades I trusted most. There are no absolutely good people in this world. I can only rely on cold logic to guard against everyone, or I'll die miserably.""
Gloria (listening quietly, eyes full of compassion. She reaches out and gently pats the protagonist's hand):
""You've been through so much. I'll listen to however much you want to say. But you know what? The reason you're in such pain is because you haven't yet understood the truth in Teacher Chan's broadcast.""
Protagonist (frowning slightly, rationality partially returning): ""Teacher Chan? That cult broadcast telling everyone to abandon thinking and believe in some Flying Spaghetti Monster (FSM)? That's all deceptive nonsense. I don't believe in that.""",res://1.Codebase/src/assets/ui/intro/page_7_story_deeptalk.png
8,1,第一幕,Act I,第8頁,Page 8,"畫面：Gloria 沒有生氣，反而用一種高高在上、彷彿看著迷途羔羊的眼神看著主角和旁邊的 One。
Gloria（語氣變得神聖且充滿壓迫感）：
「那不是邪教，那是宇宙的頻率。你們兩個都太累了，因為你們認總是為這個世界充滿惡意。其實，生命中出現的每件事、每個人，必有佢嘅意思。你過去經歷的那些背叛，不過是飛天意粉神和 FSM 給你的考驗罷了。」
Gloria（盯著主角，拋出了極具 PUA 色彩的言論）：
「其實好多時，只要你用善良去對待，唔篤人背脊，仇恨心冇咁大，人哋根本並唔會唔鍾意你。你之所以被排擠，是因為你的負能量太重了。唔好諗咁多，盞激死自己。」
畫面：主角微微一愣。這句話在邏輯上其實是「受害者有罪論」（你被排擠是因為你不夠善良）。但在當時極度渴望被這個「同類」接納的情緒下，主角的大腦開始當機。","Visual: Gloria doesn't get angry. Instead, she looks at the protagonist and One with a superior gaze, as if viewing lost lambs.
Gloria (tone becoming sacred and oppressive):
""That's not a cult, that's the frequency of the universe. You two are both exhausted because you always think the world is full of malice. Actually, everything that happens in life, every person you meet, has its purpose. Those betrayals you experienced were just tests given to you by the Flying Spaghetti Monster and FSM.""
Gloria (staring at the protagonist, delivering a statement heavily laden with manipulation):
""Actually, most of the time, if you just treat others with kindness, don't stab people in the back, and don't have such a heavy heart of hatred, people won't dislike you. The reason you were excluded is because your negative energy is too strong. Don't overthink things and stress yourself out to death.""
Visual: The protagonist is slightly stunned. This statement is logically ""victim-blaming"" (you were excluded because you weren't kind enough). But in that moment of desperately wanting to be accepted by this ""kindred spirit,"" the protagonist's brain starts to malfunction.",res://1.Codebase/src/assets/ui/intro/page_8_story_superior.png
9,1,第一幕,Act I,第9頁,Page 9,"場景：Gloria 搭建的臨時庇護所 「美麗的溫室」。
畫面：散步結束後，Gloria 將他們帶到了她用垃圾拼湊的私人庇護所。這裡掛著一塊破爛的紙皮，而且沒有wi-fi但卻有卻有一個看著像wi-fi的logo寫著：「CONNECT TO FSM，密碼：PRAYER」。
溫室內點著一盞昏暗的燈，燈罩是用廢棄的「生命麵包」包裝紙粗糙地套在發熱燈泡上製成的；旁邊還有一個長滿霉斑的舊褲，被塞滿了棉花當作抱枕。
主角（看著那個隨時會起火的麵包包裝燈罩，理性的本能再次掙扎）：「等等……這個燈罩會起火的！還有那條發霉的內褲，這完全不符合衛生和安全邏輯啊！」
Gloria（雙手交握於胸前，宛如聖女般看著主角，語氣無比溫柔卻充滿不容置疑的壓迫感）：
「你看，你的負能量又跑出來了。這明明就是一些好的事情，你應該要感恩。我把這些被遺棄的垃圾變成充滿溫度的藝術品，這就是重生的魔術，我簡直就是一個魔法師。」
Gloria（突然走近主角，眼神閃爍著狂熱的光芒）：
「你不相信陳老師的話，不相信飛天意粉神 (FSM)……但你想想，為甚麼在這片廣闊無垠的廢土上，偏偏是我們三個相遇？為甚麼你這個滿心戒備、不再相信任何人的人，會剛好遇到我這個能完全讀懂你的 6767 同類？」","Scene: Gloria's makeshift shelter, ""The Beautiful Greenhouse.""
Visual: After the walk, Gloria brings them to her personal shelter pieced together from garbage. A tattered piece of cardboard hangs here, and though there's no wi-fi, there's a logo that looks like a wi-fi symbol reading: ""CONNECT TO FSM, Password: PRAYER.""
Inside the greenhouse, a dim lamp is lit, its shade crudely made by wrapping waste ""Life Bread"" packaging paper around a heating bulb; nearby is a mold-covered old pair of pants stuffed with cotton to serve as a pillow.
Protagonist (looking at the bread-wrapper lampshade that could catch fire any moment, rational instinct struggling again): ""Wait... this lampshade is a fire hazard! And those moldy pants, this completely violates hygiene and safety logic!""
Gloria (hands clasped at her chest, looking at the protagonist like a saint, tone incredibly gentle yet filled with unquestionable pressure):
""See, your negative energy is showing again. These are clearly good things, you should be grateful. I've transformed this abandoned garbage into art filled with warmth. This is the magic of rebirth. I'm practically a wizard.""
Gloria (suddenly approaching the protagonist, eyes gleaming with fervent light):
""You don't believe Teacher Chan's words, don't believe in the Flying Spaghetti Monster (FSM)... but think about it, why, on this vast wasteland, did the three of us specifically meet? Why would you, someone so guarded who no longer trusts anyone, happen to encounter me, a 6767 kindred spirit who can completely understand you?""",res://1.Codebase/src/assets/ui/intro/page_9_story_greenhouse.png
10,1,第一幕,Act I,第10頁,Page 10,"畫面：主角愣住了，回想起今天這場如同奇蹟般的相遇，腦海中理性的防線出現了一絲裂縫。
Gloria（張開雙臂，語氣激昂地宣告）：
「這絕對不是巧合！這就是『吸引力法則』正在運作的鐵證！因為我每天都在祈禱，每天都向宇宙發射最純粹的正能量，所以 FSM 聽到了我的聲音，將你們精準地吸引到了我的身邊！」
Gloria（伸出手，示意主角和 One 牽手）：
「事實就擺在眼前，宇宙的法則是真的！放下你那冰冷又無用的攻擊性思想吧。既然 FSM 讓我們相聚，只要我們把處理不了的事情交託給祂，繼續保持絕對的正能量，我們就能重組這個殘破的世界。我們三個，組成『光榮解脫機構(gda)』，好嗎？」
畫面：Gloria 轉過頭，目光掃過 One。
One（害怕破壞這份『神聖』的氣氛，低下頭，順從地輕聲說道）：「……嗯，很溫暖，我沒事，我覺得這安排很好。」
畫面：主角看著 Gloria 那真誠無比的雙眼，又轉頭看了看已經選擇妥協的 One。
主角的內心劇烈掙扎：一邊是常識與邏輯的瘋狂警告，另一邊是所謂「命中注定的吸引力法則」和好不容易找到的 INFJ 知己。
主角（內心獨白）：【連這麼不可思議的相遇都發生了……也許她說得對，也許真的是因為我太負面，才一直活在地獄裡。如果這就是被同類接納的代價……那我寧願放棄思考。】
主角（深吸了一口氣，主動掐斷了理智的警報，將手搭了上去，勉強擠出一個微笑）：「好，我相信你……我相信這是我們的緣分。我們組隊吧。」
畫面：三人圍成一個圈，在隨時可能起火的生命麵包燈光下，Gloria 露出了勝利的慈愛微笑。
「光榮解脫機構 (GDA1)」就此成立。主角為了那份被 PUA 包裝成「宇宙奇蹟」的虛幻共鳴，親手將自己推入了一個名為「毒性正能量」的無底深淵。
【前十頁完  第一幕：致命的蜜月期 結束】","Visual: The protagonist freezes, recalling today's miracle-like encounter, a crack appearing in their rational defenses.
Gloria (spreading her arms, declaring passionately):
""This is absolutely not a coincidence! This is iron-clad proof that the 'Law of Attraction' is working! Because I pray every day, every day I emit the purest positive energy to the universe, so FSM heard my voice and precisely attracted you to my side!""
Gloria (extending her hand, gesturing for the protagonist and One to join hands):
""The facts are right before your eyes, the laws of the universe are real! Let go of those cold, useless aggressive thoughts. Since FSM brought us together, as long as we entrust what we can't handle to Him and continue maintaining absolute positive energy, we can rebuild this broken world. The three of us, forming the 'Glorious Deliverance Agency (GDA)', okay?""
Visual: Gloria turns her head, her gaze sweeping over One.
One (afraid of disrupting this 'sacred' atmosphere, bowing his head, compliantly saying softly): ""...Mm, it's warm, I'm fine, I think this arrangement is good.""
Visual: The protagonist looks at Gloria's incredibly sincere eyes, then turns to look at One who has already chosen to compromise.
The protagonist's inner turmoil: On one side, common sense and logic are screaming warnings; on the other, the so-called ""destined Law of Attraction"" and the hard-found INFJ soulmate.
Protagonist (inner monologue): [Even such an incredible meeting has happened... maybe she's right, maybe it really is because I'm too negative that I've been living in hell. If this is the price of being accepted by a kindred spirit... then I'd rather abandon thinking.]
Protagonist (taking a deep breath, actively cutting off rational alarms, placing their hand forward, forcing a smile): ""Okay, I believe you... I believe this is our fate. Let's form a team.""
Visual: The three form a circle under the Life Bread lamp light that could catch fire any moment, Gloria revealing a victorious, loving smile.
The ""Glorious Deliverance Agency (GDA1)"" is thus established. For that illusory resonance packaged as a ""cosmic miracle"" through manipulation, the protagonist has personally pushed themselves into a bottomless abyss called ""toxic positivity.""
[Pages 1-10 Complete, Act I: The Fatal Honeymoon Ends]",res://1.Codebase/src/assets/ui/intro/page_10_story_team.png
11,1,第一幕,Act I,第11頁,Page 11,"場景：深夜的「溫室」庇護所。
畫面：外面颳起了帶有腐蝕性的廢土沙暴，狂風拍打著拼湊而成的紙皮和鐵皮牆壁，發出令人不安的嘎吱聲。屋內，生命麵包燈罩下的光線搖曳不定。
主角眉頭緊鎖，正借著微弱的光線，試圖拆解並修復一台不斷發出警報聲的「便攜式淨水器」。One 坐在角落，雖然冷得微微發抖，但依然一言不發地擦拭著一把生鏽的小刀。
主角（語氣焦慮，帶著現實的緊迫感）：
「淨水器的濾芯徹底報廢了。如果明天我們不往『西區廢料場』走一趟去找替換零件，我們後天就會因為喝下重金屬污染的水而器官衰竭。One，明天你掩護我，我們得早點出發……」
畫面：突然，一隻白皙的手按在了主角正在修理淨水器的雙手上。是 Gloria。她不知何時已經換上了一副極度安詳、宛如聖女般的面容。","Scene: Late night at the 'Greenhouse' shelter.
Visual: Outside, a corrosive wasteland sandstorm rages. The protagonist works anxiously to repair a broken water purifier, without it, they'll face organ failure from contaminated water.
Protagonist: 'The filter is completely broken. If we don't go to the West District Scrapyard tomorrow to find replacement parts, we'll die of heavy metal poisoning the day after.'
Gloria suddenly places her hand on the protagonist's, taking away the tools with a saintly expression.",res://1.Codebase/src/assets/ui/intro/page_11_story_repair.png
12,1,第一幕,Act I,第12頁,Page 12,"Gloria（輕輕拿走主角手裡的工具，語氣輕柔卻帶著一絲責備）：
「停下來吧。你聽，外面的風聲多麼狂躁？那是因為你內心的焦慮，擾亂了我們溫室的磁場。」
主角（愣住，指著淨水器）：「可是……這不是焦慮，這是生存的客觀數據。淨水器壞了，這是一個必須解決的物理問題！」
Gloria（搖了搖頭，走到那張畫著向日葵的破結他旁，盤腿坐下）：
「你又陷入那種冰冷的悲觀思想裡了。這就是為什麼你以前會活得那麼痛苦。來，坐到我身邊來。現在是我們的『感恩與交託』時間。」
畫面：Gloria 拍了拍身邊的空地，示意主角和 One 坐過來。One 順從地放下小刀，安靜地坐了過去。主角猶豫了一下，為了剛建立的「同類」友誼，只能強壓下焦慮，坐了下來。","Gloria: 'Stop. Listen to the wind, it's so violent because your anxiety is disturbing our greenhouse's magnetic field.'
Protagonist (stunned): 'But... this isn't anxiety, this is objective survival data. The purifier is broken, this is a physical problem that must be solved!'
Gloria: 'You're trapped in that cold, pessimistic thinking again. This is why you suffered so much before. Come, sit beside me. It's time for our 'Gratitude and Entrustment' session.'
Gloria pats the ground, gesturing for the protagonist and One to sit. One obediently puts down his knife and sits. The protagonist, suppressing anxiety for the sake of this newfound 'kindred spirit' friendship, reluctantly sits down.",res://1.Codebase/src/assets/ui/intro/page_12_story_sit.png
